25.484 227.05
26.857 228.57
27.286 236.99
1.9027 234.29
20.421 213.52
15.963 224.71
28.187 234.2
10.407 238.41
24.244 226.25
18.492 243.06
26.153 227.7
28.229 248.36
12.167 240.27
27.834 235.05
23.951 241.55
9.3583 234.23
28.053 231.35
11.692 227.63
9.5818 232.61
12.118 240.54
21.955 224.89
13.621 241.77
27.835 231.96
26.557 238.53
3.5971 228
16.244 224.5
21.641 242.56
20.107 242.88
26.107 227.54
14.067 241.56
20.927 224.68
21.293 224.29
22.186 242.23
17.617 242.96
9.4884 236.27
22.28 242.41
21.68 224.78
25.446 226.99
11.894 227.34
13.525 225.57
9.4848 234.49
20.601 224.54
27.974 234.41
21.568 242.58
21.089 224.68
21.437 242.56
28.015 232.7
10.307 237.74
21.647 242.39
27.133 237.97
22.151 242.56
27.519 236.2
23.935 225.55
12.881 226.45
22.271 242.11
24.074 225.71
25.472 239.9
25.725 240.06
15.493 224.67
9.7891 236.46
27.517 230.56
12.82 240.82
17.506 224.24
